rank,artist,sales,First Places ▽
1.0,Seventeen,45235235,19
2.0,BTS,40547172,22
3.0,Stray Kids,33351389,9
4.0,NCT DREAM,21816561,5
5.0,TXT,19847565,4
6.0,Enhypen,17235427,3
7.0,Twice,16600172,2
8.0,NCT 127,14088822,3
9.0,EXO,13666727,20
10.0,ATEEZ,11795869,1
11.0,IVE,11526536,3
12.0,Aespa,10947622,2
13.0,ZEROBASEONE,9246646,2
14.0,NewJeans,8324377,0
15.0,I-dle,7245392,1
16.0,ITZY,7076958,1
17.0,The Boyz,6876627,0
18.0,NCT,6784134,5
19.0,Super Junior,6731813,8
20.0,Nmixx,6671634,0
21.0,LE SSERAFIM,6621394,0
22.0,Treasure,6372168,2
23.0,Blackpink,6305622,1
24.0,BOYNEXTDOOR,5507141,1
25.0,RIIZE,5371031,1
26.0,Red Velvet,5263236,0
27.0,G.O.D,5168193,0
28.0,NCT WISH,4800543,2
29.0,MONSTA X,4701570,1
30.0,GOT7,4576219,5
31.0,015B,4001743,0
32.0,PLAVE,3800082,0
33.0,Wanna One,3687191,4
34.0,Girls' Generation,3630065,6
35.0,Sechs kies,3594688,0
36.0,S.E.S.,3563059,0
37.0,BIGBANG,3514210,5
38.0,Shinhwa,3486620,0
39.0,TVXQ!,3392154,7
40.0,SHINee,3256350,5
41.0,TWS,3103848,0
42.0,CRAVITY,2644433,0
43.0,BABYMONSTER,2493300,0
44.0,WayV,2464044,0
45.0,IZ*ONE,2101206,0
46.0,Turbo,2077925,0
47.0,ILLIT,1996411,0
48.0,StayC,1965997,0
49.0,SG Wannabe,1923903,0
50.0,ASTRO,1844780,0
51.0,Infinite,1831730,3
52.0,SF9,1801596,0
53.0,Kep1er,1754303,0
54.0,Highlight,1726697,2
55.0,P1Harmony,1721630,0
56.0,Oneus,1683205,0
57.0,Brown Eyes,1584861,0
58.0,BSS,1556978,2
59.0,tripleS,1498614,0
60.0,SMTOWN,1403471,0
61.0,CNBlue,1343981,1
62.0,VIXX,1342848,2
63.0,AB6IX,1328776,0
64.0,xikers,1317135,0
65.0,Mamamoo,1260698,0
66.0,Super Junior-D&E,1260150,0
67.0,TEAM,1229640,0
68.0,Dreamcatcher,1228151,0
69.0,Day6,1204222,0
70.0,CORTIS,1194968,0
71.0,BTOB,1189542,0
72.0,NU'EST,1176812,0
73.0,Epex,1162819,0
74.0,KickFlip,1094448,0
75.0,Fromis 9,1037067,0
76.0,Winner,1032476,0
77.0,EVNNE,1032016,0
78.0,GFriend,999591,0
79.0,CxM,987130,0
80.0,ONF,971303,0
81.0,2PM,969382,0
82.0,JEONGHAN X WONWOO,966492,0
83.0,EXO-SC,958750,1
84.0,Close Your Eyes,950036,0
85.0,NEXZ,927149,0
86.0,B.A.P,911467,1
87.0,B1A4,907028,0
88.0,Kara,896926,0
89.0,Hearts2Hearts,867892,0
90.0,iKON,855547,0
91.0,WJSN,850460,0
92.0,Apink,829855,0
93.0,CIX,814534,0
94.0,NCT DOJAEJUNG,806642,0
95.0,Golden Child,795759,0
